review_id,platform,country,date,star_rating,title,text,user_name,app_version,is_crypto,is_trust_concern,is_fx,is_relevant,matched_crypto,matched_trust,matched_fx
13957215721,app_store,gb,2026-04-14T07:31:18-07:00,1,Scan,Got loads of money stolen from my account. Asked for help and nobody wound. They’d blame me and say I was the one making the transactions even tho the app itself was sending me alerts and notifications telling me they are declining a payment as it’s flagged as fraud. Mind you they declined the third transaction made on my card but not the first two. Never even got a notification that my card was being used at all. Never gave my money back and I closed my account instantly! They do not care to help you. They help the people who steal your heard earned money from you,CrystalCrimson,10.125,False,True,False,True,,closed my account; fraud,
13957179940,app_store,gb,2026-04-14T07:19:37-07:00,1,i got scam,"I had a very disappointing experience with the Revolut app and their customer support.

I was scammed and immediately contacted their support team, providing clear evidence and detailed information about the fraud and the scammer. I expected at least some level of investigation or protection as a customer, but I felt completely ignored. No real action was taken regarding my case.

Instead of helping me recover or block the fraudulent activity, I was left with no resolution. Even worse, I was then contacted about charges related to the money I had been scammed out of, which made the situation feel even more unfair and stressful.

As a customer, I trusted Revolut to provide support in situations like this, especially when fraud is involved. Unfortunately, my experience has made me lose confidence in their customer protection process.

I hope they improve how they handle scam reports and take stronger action to protect users in the future.",qqs 123,10.125,False,True,False,True,,customer support; fraud; fraudulent; scam; scammed; support team,
13957109726,app_store,gb,2026-04-14T06:56:44-07:00,5,Great account for everyday and saving,"Amazing account which I use for everyday spending, saving and currency exchange! 
I have recommended to all my family and friends and they also love it. 
I have to accounts for my children which are also free and easy to use. 
I also had an issue when buying something online and the bank flagged the transaction. Everything was sorted the same day and the money was back in my account.",Kaateee92,10.125,False,False,True,True,,,currency exchange
13956938863,app_store,gb,2026-04-14T05:59:50-07:00,1,Disappointed,"Sadly your promotion to get friends to open accounts with a promise of  £200is very misleading and deceptive as later the wording is “”Up To”!!!
disgusting management and customer service 🤬",Jimny C!,10.125,False,True,False,True,,customer service,
13956873707,app_store,gb,2026-04-14T05:37:14-07:00,5,App Chat ‘Customer Support’ - where!!,"The App itself is pretty good with lots of features such as instance card freeze/unfreeze.  Great.  
But if you cannot access your money then having great features counts for nothing. 
Customer Service is ONLY available via the Chat feature in the app. So if you want to sort anything out or complain, then hard luck. First time I used it it said we are very busy but will respond shortly. That was nearly two weeks ago.
Still waiting to talk or chat to anyone!
Still cannot access my money! 
My online community posting initially say ‘waiting to be moderated’, then they just seem to disappear. 
Love the idea of Revolut, but the implementation leaves a lot to be desired.",Brian_NB,10.125,False,True,False,True,,customer service; customer support,
13956242843,app_store,gb,2026-04-14T01:01:12-07:00,5,Good just one issue,"Really like Revolut, however apps such as Remitly and other stocks and shares venders don’t seem to like it. So I couldn’t completely move away from my high street bank. They are very good at reclaiming money",Guru_nanak,10.125,False,False,True,True,,,remitly
13956236319,app_store,gb,2026-04-14T00:57:41-07:00,5,Good financial app,"Probably the best bank for Curreny exchange as long as you don’t exchange on a weekend as you end up with a fee not very good with fraud claims, very little help or the ability of talk with customer support.",tomo1957,10.125,False,True,False,True,,customer support; fraud,
13955780818,app_store,gb,2026-04-13T20:53:48-07:00,1,Appalling service,"Unable to move BTC to external wallets. Punitive daily limits applied. You deal with chatbots, seemingly trained by Kafka. There suggested workarounds can cost thousands. Be careful when trading sudden peaks when you buys and troughs when you sell, always to your detriment, and not at the advertised rate. Very profitable company at the consumers expense.",imr4033,10.125,True,False,False,True,btc,,
13955579676,app_store,gb,2026-04-13T19:17:24-07:00,5,Great app for crypto to fiat. Good UX,Helps a lot with my day to day expense and crypto to fiat conversion.,owans94me,10.125,True,False,False,True,crypto,,
13955013227,app_store,gb,2026-04-13T15:06:24-07:00,5,Best app,I love it been so good and the customer service is top,Jaybond69,10.125,False,True,False,True,,customer service,
13954818726,app_store,gb,2026-04-13T13:42:57-07:00,5,The best,"Revolut is one of the best online banks available: fast, reliable, and incredibly intuitive. The app is smooth and powerful, with instant payments, real-time spending control, and seamless currency exchange. Everything works flawlessly. Modern banking done right. ⭐⭐⭐⭐⭐",Fr€nKy,10.125,False,False,True,True,,,currency exchange
13953933020,app_store,gb,2026-04-13T08:19:03-07:00,5,Brilliant,"Awesome banking app I have my savings, Crypto and spare change with Revolut. You can also use it for your investments it has it all.",Chuckz23,10.125,True,False,False,True,crypto,,
13953506197,app_store,gb,2026-04-13T05:58:41-07:00,5,Works a charm,"Everything from budget management, investing, easy payments, foreign currency exchange and spending while on holiday… honestly one of my favourite apps I use on a daily.",Blargitus,10.125,False,False,True,True,,,currency exchange
